publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p793251,earthquake,2019-10-21T12:04:25.644Z,2019-10-21T12:07:06.010Z,175.6681976,-37.70814133,1.877853765,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,12,6,0.1338680685,90.17328262,0.3411299296,0
2019p758133,earthquake,2019-10-08T12:13:20.435Z,2019-10-08T12:17:54.980Z,175.5581818,-38.01449585,2.781237452,221.0885162,M,,LOCSAT,confirmed,manual,iasp91,22,19,10,0.2865535319,156.7865295,0.8192143037,0
2019p744118,earthquake,2019-10-03T07:46:16.110Z,2019-10-31T02:05:26.207Z,175.0195923,-35.79643631,3.18980595,5.042007923,M,,LOCSAT,confirmed,manual,iasp91,18,13,10,0.5659667253,206.067749,0.3559788541,0
2019p731546,earthquake,2019-09-28T16:07:51.297Z,2019-10-23T01:39:57.607Z,175.0054932,-35.80393982,2.819791561,9.922416687,M,,LOCSAT,confirmed,manual,iasp91,28,18,12,0.552996397,204.1905975,0.5884991133,0
2019p722411,earthquake,2019-09-25T07:00:39.896Z,2019-10-21T03:02:04.192Z,174.9819489,-35.81042099,2.588174896,6.101545334,M,,LOCSAT,confirmed,manual,iasp91,25,14,9,0.5328575373,201.6931,0.7171020939,0
2019p701659,earthquake,2019-09-17T14:44:16.126Z,2019-09-17T14:48:54.383Z,175.0105896,-35.80443192,2.164806405,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,12,5,0.5568925738,204.5418243,0.5319706247,0
2019p686483,quarry blast,2019-09-11T23:58:22.000Z,2019-09-12T00:02:40.606Z,175.0183,-36.9622,1.000878182,0,M,,,confirmed,manual,,0,0,5,0,0,0.6321219798,0
2019p668117,quarry blast,2019-09-05T04:52:56.000Z,2019-09-05T05:00:45.107Z,175.06,-37.61,1.950491237,0,M,,,confirmed,manual,,0,0,6,0,0,0.5825285987,0
2019p658737,earthquake,2019-09-01T17:35:20.854Z,2019-09-01T17:38:59.652Z,175.1516418,-37.94460678,2.030556829,98.59887695,M,,LOCSAT,confirmed,manual,iasp91,11,8,2,0.6134237647,259.847641,0.5027448714,0
2019p649210,quarry blast,2019-08-29T04:59:20.946Z,2019-09-17T05:04:55.877Z,175.1134644,-37.61322784,1.881906107,0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,9,9,6,0.3298305273,132.8083038,0.171469046,0
2019p637984,earthquake,2019-08-25T01:17:54.345Z,2019-09-15T21:35:03.452Z,175.6235352,-37.64546967,2.451524335,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,13,6,0.1170570552,71.47674751,0.477424569,0
2019p596908,earthquake,2019-08-09T20:32:57.118Z,2019-08-09T20:39:40.202Z,174.9729004,-35.93677902,2.32648772,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,6,0.5020578504,186.5561066,0.7871863648,0
